Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR,Extra_0
Raynald Manuel,14,13,0,48,142,33.8,26,93,28.0,4,10,40.0,38,10,14,14,5,0,126,3.4,1.0,1.0,0.0,9.0,6.9
Izzy Atienza,1,0,0,4,9,44.4,1,4,25.0,0,0,0.0,0,0,1,2,1,0,9,0.0,1.0,2.0,0.0,9.0,6.0
Daniel Langeneau,8,20,2,28,71,39.4,5,11,45.5,11,19,57.9,31,16,11,18,16,2,72,5.9,1.4,2.3,0.3,9.0,10.4
Ryan Anderson,13,11,0,38,99,38.4,25,65,38.5,2,7,28.6,38,9,20,13,16,3,117,3.6,1.5,1.0,0.2,9.0,9.1
Liam Sharkey,2,1,0,8,24,33.3,0,1,0.0,2,4,50.0,13,9,3,3,3,2,18,11.0,1.5,1.5,1.0,9.0,13.5
Denzel Dawal,1,1,0,4,10,40.0,1,3,33.3,0,0,0.0,3,1,0,2,2,0,9,4.0,0.0,2.0,0.0,9.0,7.0
Albert Villagomez,2,1,0,7,15,46.7,4,9,44.4,0,0,0.0,9,1,12,2,2,0,18,5.0,6.0,1.0,0.0,9.0,16.0
Riley Werner,22,23,0,74,202,36.6,25,104,24.0,26,51,51.0,60,52,11,4,23,7,199,5.1,0.5,0.2,0.3,9.0,7.1
Justin Garcia,37,90,1,141,356,39.6,0,20,0.0,54,100,54.0,298,135,72,44,57,16,334,11.7,1.9,1.2,0.4,9.0,15.7
Suk Singh,2,3,0,7,15,46.7,4,9,44.4,0,0,0.0,11,1,9,1,5,0,18,6.0,4.5,0.5,0.0,9.0,13.5
Ruidi Shi,18,26,0,61,142,43.0,36,95,37.9,2,7,28.6,57,26,39,14,29,3,160,4.6,2.2,0.8,0.2,8.9,10.2
George Loewen,20,59,0,80,182,44.0,1,6,16.7,14,30,46.7,82,42,9,22,31,5,177,6.2,0.5,1.1,0.3,8.9,9.4
