Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Vianney Vega,10,19,0,53,166,31.9,13,60,21.7,9,16,56.3,43,10,27,15,22,2,128,5.3,2.7,1.5,0.2,12.8
Ali Ahmed,15,15,2,69,138,50.0,50,108,46.3,1,4,25.0,53,16,37,8,11,4,189,4.6,2.5,0.5,0.3,12.6
Chris Demauleon-Bartolay,9,6,0,37,85,43.5,21,58,36.2,19,21,90.5,29,9,15,7,9,0,113,4.2,1.7,0.8,0.0,12.6
Teagan Wollbaum,9,3,0,48,131,36.6,11,40,27.5,6,13,46.2,50,9,20,10,21,4,113,6.6,2.2,1.1,0.4,12.6
William Benson,8,10,0,45,100,45.0,4,28,14.3,7,11,63.6,45,39,9,12,15,7,101,10.5,1.1,1.5,0.9,12.6
Steven Williamson,9,17,2,42,100,42.0,14,36,38.9,11,21,52.4,44,10,28,8,22,0,113,6.0,3.1,0.9,0.0,12.6
Harliv Dhillon,8,21,0,42,113,37.2,0,0,0.0,17,36,47.2,47,26,5,4,17,8,101,9.1,0.6,0.5,1.0,12.6
Andrew Bruin,12,24,0,63,104,60.6,2,11,18.2,22,42,52.4,52,34,14,7,18,4,150,7.2,1.2,0.6,0.3,12.5
Jasnoor Sandhu,6,17,2,31,87,35.6,11,45,24.4,2,6,33.3,28,11,7,10,10,1,75,6.5,1.2,1.7,0.2,12.5
James Lucero,8,9,0,34,93,36.6,19,56,33.9,13,22,59.1,20,6,15,49,14,2,100,3.3,1.9,6.1,0.3,12.5
Sean Close,11,9,2,42,120,35.0,24,76,31.6,20,23,87.0,65,13,27,5,14,8,137,7.1,2.5,0.5,0.7,12.5
Lee Pashe,10,7,0,54,129,41.9,12,33,36.4,2,4,50.0,66,14,14,9,14,11,124,8.0,1.4,0.9,1.1,12.4
Foxx Domansky,8,16,0,37,95,38.9,6,30,20.0,19,30,63.3,62,18,12,7,23,10,99,10.0,1.5,0.9,1.3,12.4
Chace Moroz,19,43,1,80,200,40.0,58,151,38.4,18,24,75.0,80,6,59,28,35,4,236,4.5,3.1,1.5,0.2,12.4
Stephen Olivier-Job,12,12,0,59,182,32.4,23,94,24.5,13,20,65.0,56,9,40,18,27,4,148,5.4,3.3,1.5,0.3,12.3
Arsh Sodha,6,14,1,34,70,48.6,3,15,20.0,2,6,33.3,39,20,6,4,8,2,73,9.8,1.0,0.7,0.3,12.2
Alex Halyckyj,9,32,0,37,85,43.5,17,41,41.5,19,29,65.5,34,22,10,7,6,13,110,6.2,1.1,0.8,1.4,12.2
Olivier Leblanc,9,12,0,47,75,62.7,0,6,0.0,15,38,39.5,31,17,13,13,21,11,109,5.3,1.4,1.4,1.2,12.1
Jesse Davidson,7,9,1,39,88,44.3,7,30,23.3,2,9,22.2,38,15,12,10,12,1,85,7.6,1.7,1.4,0.1,12.1
Riley Thiessen-Lewchuk,10,23,1,49,111,44.1,13,48,27.1,9,10,90.0,49,8,23,14,17,2,120,5.7,2.3,1.4,0.2,12.0
Ryan Hassar,6,5,0,29,87,33.3,12,43,27.9,2,2,100.0,33,7,7,10,13,2,72,6.7,1.2,1.7,0.3,12.0
Paul Muns,1,0,0,5,10,50.0,2,6,33.3,0,0,0.0,2,0,3,0,0,0,12,2.0,3.0,0.0,0.0,12.0
Choi Vega,8,4,0,41,115,35.7,8,37,21.6,6,14,42.9,35,16,21,15,16,0,96,6.4,2.6,1.9,0.0,12.0
Ben Boileau,1,1,0,4,15,26.7,4,15,26.7,0,0,0.0,6,1,1,1,0,0,12,7.0,1.0,1.0,0.0,12.0
Brayden Neufeld,9,25,0,45,91,49.5,0,0,0.0,17,29,58.6,48,42,14,15,16,2,107,10.0,1.6,1.7,0.2,11.9
Patrick Quevedo,8,9,1,35,101,34.7,21,63,33.3,4,7,57.1,31,6,16,9,24,1,95,4.6,2.0,1.1,0.1,11.9
Mark Gilchrist,10,14,0,52,112,46.4,1,8,12.5,16,28,57.1,86,39,19,19,16,11,119,12.5,1.9,1.9,1.1,11.9
Mahmoud Sesay,5,3,0,24,61,39.3,2,18,11.1,9,16,56.3,30,8,6,2,9,2,59,7.6,1.2,0.4,0.4,11.8
