Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Xander Small,9,21,0,54,136,39.7,23,73,31.5,12,17,70.6,7.0,2.1,1.7,0.0,15.9,,,,,,,
Jakob McKenna,8,1,0,47,101,46.5,33,78,42.3,0,0,0.0,6.8,2.4,1.1,1.0,15.9,,,,,,,
Kal-El Alejo,4,3,0,28,59,47.5,7,23,30.4,0,2,0.0,4.8,1.8,0.5,0.8,15.8,,,,,,,
Kurius Lathlin,15,12,0,98,246,39.8,16,79,20.3,25,48,52.1,6.8,5.3,1.7,0.1,15.8,,,,,,,
Aaron Thomas,6,7,0,44,77,57.1,2,5,40.0,4,9,44.4,5.8,3.3,1.8,0.5,15.7,,,,,,,
Geom Dayanghirang,7,15,0,41,126,32.5,10,50,20.0,17,31,54.8,5.6,1.1,2.7,0.9,15.6,,,,,,,
Nam Nguyen,4,7,0,26,59,44.1,4,16,25.0,5,9,55.6,3.8,2.5,1.3,0.0,15.3,,,,,,,
Vianney Vega,9,23,0,57,155,36.8,11,45,24.4,13,20,65.0,7.1,2.8,1.1,0.2,15.3,,,,,,,
Hayden Nellis,6,17,1,34,68,50.0,2,9,22.2,32,44,72.7,16.3,4.2,0.7,0.5,15.2,,,,,,,
Josh Petik,10,12,0,70,130,53.8,0,4,0.0,11,21,52.4,8.9,3.2,1.5,0.4,15.1,,,,,,,
Ethan Iwanusiw,7,9,0,44,112,39.3,9,43,20.9,8,13,61.5,8.1,4.7,2.0,0.1,15.0,,,,,,,
Kashton Kaptein,8,8,0,53,112,47.3,11,43,25.6,3,7,42.9,10.0,2.3,2.0,0.1,15.0,,,,,,,
Riley Thiessen-Lewchuk,9,18,1,47,115,40.9,19,54,35.2,18,21,85.7,5.4,3.2,1.2,0.4,14.6,,,,,,,
Garret Nicholson,8,13,0,50,144,34.7,9,44,20.5,8,25,32.0,8.4,2.1,1.6,0.8,14.6,,,,,,,
Jack Bausman,4,7,0,22,52,42.3,11,36,30.6,3,3,100.0,5.8,4.8,0.3,0.8,14.5,,,,,,,
Joseph Osiname,8,23,2,38,121,31.4,17,52,32.7,22,35,62.9,9.9,4.9,2.9,0.3,14.4,,,,,,,
Julian Lachuta,8,9,0,45,137,32.8,8,40,20.0,16,28,57.1,5.6,2.1,1.1,0.5,14.3,,,,,,,
