Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Jack Steiman,10,9,1,27,64,42.2,10,28,35.7,2,7,28.6,66,2.0,0.3,0.5,0.1,6.6,,,,,,30
Tristan Small,7,5,0,18,58,31.0,7,39,17.9,3,9,33.3,46,4.0,0.7,0.9,0.1,6.6,,,,,,30
Dylan Jaculak,15,17,0,41,100,32.0,14,62,22.6,3,6,50.0,99,5.9,1.7,0.9,0.7,6.6,,,,,,30
Tyler Linklater,11,14,0,31,100,27.7,3,36,8.3,8,16,50.0,73,6.4,1.9,1.2,0.4,6.6,,,,,,30
Duot Tor,15,27,1,43,95,45.3,9,30,30.0,4,13,30.8,99,4.5,0.5,1.1,0.3,6.6,,,,,,30
Andrew Langford,5,6,1,16,42,38.1,0,5,0.0,1,7,14.3,33,7.8,3.0,1.0,0.2,6.6,,,,,,30
Caleb Dorrington,17,12,0,50,100,41.3,4,23,17.4,8,15,53.3,112,7.9,1.5,0.8,0.4,6.6,,,,,,30
Khalil Coward,16,36,0,40,100,37.7,2,8,25.0,25,47,53.2,106,5.4,0.6,0.6,0.1,6.6,,,,,,30
Lucas Wollmann,18,26,0,43,100,29.9,22,75,29.3,10,19,52.6,118,3.7,1.6,1.2,0.1,6.6,,,,,,30
Carter Hildebrand,16,32,1,41,100,34.7,10,35,28.6,10,19,52.6,104,3.9,2.0,0.9,0.1,6.5,,,,,,30
Jonathan Salunga,22,37,1,57,100,31.5,22,85,25.9,8,22,36.4,144,4.1,1.5,1.0,0.1,6.5,,,,,,30
Drew Dobinsky,11,25,0,28,65,43.1,9,28,32.1,7,16,43.8,72,4.5,0.7,1.3,0.5,6.5,,,,,,30
Emmanuel Olugbodi,17,26,0,55,100,48.2,0,1,0.0,5,19,26.3,111,9.2,1.2,1.5,0.9,6.5,,,,,,30
Ketan Bansal,2,4,0,6,12,50.0,1,1,100.0,0,2,0.0,13,3.0,0.0,1.0,0.5,6.5,,,,,,30
Sam Oguntola,20,33,1,57,100,42.9,7,36,19.4,9,29,31.0,130,7.7,0.7,1.2,2.4,6.5,,,,,,30
Jordan Lavallee,2,1,0,6,15,40.0,1,7,14.3,0,0,0.0,13,2.0,0.0,0.5,0.0,6.5,,,,,,30
Paul Belanger,2,3,0,6,10,75.0,0,0,0.0,1,4,25.0,13,5.5,1.0,0.5,0.0,6.5,,,,,,30
Max Ojala,2,4,0,5,11,45.5,0,3,0.0,3,6,50.0,13,3.0,0.5,1.0,0.5,6.5,,,,,,30
Thomas Sengiyumva,2,1,0,6,19,31.6,1,2,50.0,0,2,0.0,13,6.5,0.5,0.5,0.5,6.5,,,,,,30
Delf Gravert,16,22,0,46,100,40.4,1,8,12.5,10,21,47.6,103,5.1,0.4,0.9,0.5,6.4,,,,,,30
Isaiah Deguzman,13,12,0,33,91,36.3,12,45,26.7,5,9,55.6,83,4.2,2.0,0.5,0.0,6.4,,,,,,30
Ryan Hawley,27,32,0,59,100,39.3,54,137,39.4,1,1,100.0,172,1.5,1.0,0.3,0.1,6.4,,,,,,30
Dylan Gray,15,27,1,41,100,29.5,5,33,15.2,9,20,45.0,96,5.0,0.9,1.3,0.5,6.4,,,,,,30
Gavin Stevenson,22,19,0,51,100,32.5,22,80,27.5,16,32,50.0,140,4.2,0.9,0.8,0.3,6.4,,,,,,30
