Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
John Ledesma,2,2,0,6,17,35.3,2,12,16.7,0,4,0.0,1.0,3.5,1.0,0.0,7.0,,,,,,,100
Andre Ellison,6,6,0,21,44,47.7,0,2,0.0,0,0,0.0,7.0,3.7,0.7,0.3,7.0,,,,,,,100
Aiden Stevens,2,0,0,4,13,30.8,0,3,0.0,6,10,60.0,14.0,2.0,2.0,1.0,7.0,,,,,,,100
Luke Klusa,8,12,0,19,62,30.6,6,28,21.4,10,13,76.9,3.9,2.8,1.4,0.0,6.8,,,,,,,100
Taye Frazer,4,0,0,10,29,34.5,4,13,30.8,3,6,50.0,4.0,1.3,0.8,0.5,6.8,,,,,,,100
Keishawn Saysana,9,17,0,26,76,34.2,3,25,12.0,6,8,75.0,4.1,1.9,1.6,0.1,6.8,,,,,,,100
Olamide Owoeye,9,23,1,23,100,21.3,9,61,14.8,5,20,25.0,12.3,1.2,1.0,0.9,6.7,,,,,,,100
Lei He,9,26,0,25,60,41.7,4,17,23.5,6,17,35.3,3.2,1.9,0.7,0.1,6.7,,,,,,,100
Dennis Maritim,7,7,0,20,56,35.7,7,27,25.9,0,0,0.0,2.3,1.9,0.7,0.1,6.7,,,,,,,100
David Gerring,9,16,0,22,76,28.9,9,31,29.0,6,17,35.3,6.3,4.4,1.3,0.3,6.6,,,,,,,100
Nick Fara,7,15,0,17,53,32.1,8,25,32.0,2,6,33.3,3.1,2.7,1.0,0.1,6.6,,,,,,,100
Lebon Sandoval,2,3,0,4,14,28.6,2,7,28.6,3,8,37.5,5.5,4.0,3.5,0.0,6.5,,,,,,,100
Abdallah Sheikheldin,2,6,0,6,12,50.0,1,2,50.0,0,0,0.0,3.0,5.0,1.0,0.0,6.5,,,,,,,100
Manny Skead,9,8,0,21,47,44.7,8,21,38.1,8,10,80.0,3.3,1.4,0.2,0.1,6.4,,,,,,,100
Geromy Monte,10,12,0,25,65,38.5,7,26,26.9,7,14,50.0,4.8,1.0,1.5,0.4,6.4,,,,,,,100
Arsh Sodha,3,6,1,8,22,36.4,2,8,25.0,1,4,25.0,4.7,0.7,1.0,0.3,6.3,,,,,,,100
Eric Sung,3,5,0,7,19,36.8,5,17,29.4,0,0,0.0,2.3,1.7,0.0,0.0,6.3,,,,,,,100
Charles Fogel,6,9,1,19,56,33.9,0,9,0.0,0,4,0.0,7.0,0.3,0.2,0.2,6.3,,,,,,,100
Michael Stirling,8,5,0,21,67,31.3,2,16,12.5,6,15,40.0,9.3,1.9,2.9,0.3,6.3,,,,,,,100
Teejay Capuno,6,8,0,13,52,25.0,6,28,21.4,5,6,83.3,2.8,1.7,1.0,0.3,6.2,,,,,,,100
Carlos Urbiztondo,9,19,0,22,77,28.6,4,27,14.8,8,9,88.9,3.8,1.1,0.9,0.0,6.2,,,,,,,100
Ben Nyime,8,12,0,24,75,32.0,1,9,11.1,0,1,0.0,8.9,2.0,1.4,0.1,6.1,,,,,,,100
